book_id,user_id,rating,id,isbn,authors,original_publication_year,original_title,average_rating,ratings_count,image_url
1934,41,4,42,451529308,Louisa May Alcott,1868,Little Women,4.04,1257121,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1953,513,4,83,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale Of Two Cities,3.81,637412,https://images.gr-assets.com/books/1344922523m/1953.jpg
1990,143,5,8357,140436146,"Charles Dickens, Patricia Ingham, Hablot Knight Browne",1844,The Life And Adventures Of Martin Chuzzlewit,3.82,11784,https://images.gr-assets.com/books/1334392783m/1990.jpg
2002,274,5,9048,043932162X,J.K. Rowling,2001,Harry Potter Schoolbooks Box Set: Two Classic Books From The Library Of Hogwarts School Of Witchcraft And Wizardry,4.4,10736,https://images.gr-assets.com/books/1479775271m/2002.jpg
2049,446,4,8850,394758269,Raymond Chandler,1942,The High Window,4.08,11080,https://images.gr-assets.com/books/1466754245m/2049.jpg
2050,2968,3,4444,394758277,Raymond Chandler,1940,"Farewell, My Lovely",4.17,21864,https://images.gr-assets.com/books/1465778099m/2050.jpg
2052,324,4,1160,394758285,Raymond Chandler,1939,The Big Sleep,4.04,84489,https://images.gr-assets.com/books/1371584712m/2052.jpg
2054,256,3,4443,394757688,Raymond Chandler,1953,The Long Goodbye,4.23,22503,https://images.gr-assets.com/books/1388225584m/2054.jpg
2067,1031,3,8915,067003472X,Daniel C. Dennett,2006,Breaking The Spell: Religion As A Natural Phenomenon,3.89,8381,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2068,341,5,8375,068482471X,Daniel C. Dennett,1995,Darwin'S Dangerous Idea: Evolution And The Meanings Of Life,4.03,11090,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2094,363,3,4119,553804367,"Stephen Hawking, Leonard Mlodinow",2005,A Briefer History Of Time,4.19,19838,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2095,736,5,3696,055380202X,Stephen Hawking,2001,The Universe In A Nutshell,4.13,23596,https://images.gr-assets.com/books/1159814395m/2095.jpg
2122,1291,3,287,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,3.85,244545,https://images.gr-assets.com/books/1491163636m/2122.jpg
2137,377,4,6889,312424086,Michael Cunningham,1990,A Home At The End Of The World,3.89,13228,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2142,202,5,6961,849945119,Ted Dekker,2002,Blink,4.17,12037,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2152,836,2,2136,452286530,Karen Joy Fowler,2004,The Jane Austen Book Club,3.07,53128,https://images.gr-assets.com/books/1309282966m/2152.jpg
2156,1136,3,230,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,4.13,365425,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2159,2334,4,3123,452287081,John Perkins,2004,Confessions Of An Economic Hit Man,3.83,19726,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2165,124,4,130,684830493,Ernest Hemingway,1952,The Old Man And The Sea,3.73,520630,https://images.gr-assets.com/books/1329189714m/2165.jpg
2175,164,5,560,192840398,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",1856,Madame Bovary,3.64,158877,https://images.gr-assets.com/books/1335676143m/2175.jpg
2183,1402,4,7952,140447970,"Gustave Flaubert, Robert Baldick, Geoffrey Wall",1869,L'Éducation Sentimentale,3.83,11642,https://images.gr-assets.com/books/1327788473m/2183.jpg
2187,1115,4,115,312422156,Jeffrey Eugenides,2002,Middlesex,3.98,488243,https://images.gr-assets.com/books/1437029776m/2187.jpg
2199,951,5,870,743270754,"Doris Kearns Goodwin, Suzanne Toren",2005,Team Of Rivals: The Political Genius Of Abraham Lincoln,4.3,102923,https://images.gr-assets.com/books/1347278868m/2199.jpg
2203,1729,3,366,743223136,David McCullough,2001,John Adams,4.05,215780,https://images.gr-assets.com/books/1478144278m/2203.jpg
2255,1326,3,2439,1932073205,Dan Millman,1980,Way Of The Peaceful Warrior: A Book That Changes Lives,4.13,34136,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2265,2066,5,2650,425179613,"Lance Armstrong, Sally Jenkins",1999,It'S Not About The Bike: My Journey Back To Life,3.72,31963,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2279,1019,4,2174,671869205,David McCullough,1992,Truman,4.15,53088,https://images.gr-assets.com/books/1364681969m/2279.jpg
2368,446,3,5180,671447548,David McCullough,1981,Mornings On Horseback,4.1,18321,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2371,282,3,7738,844662925,David McCullough,1968,The Johnstown Flood,4.11,11691,https://images.gr-assets.com/books/1313667349m/2371.jpg
2372,1280,3,8721,743262131,David McCullough,1977,"The Path Between The Seas: The Creation Of The Panama Canal, 1870-1914",4.19,9349,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2373,854,4,726,451188454,Jeffery Deaver,1997,The Bone Collector,4.18,120541,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2430,3278,3,7645,515121495,Steve Martini,1997,The List,3.95,11696,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2442,1202,3,2489,61020613,Terry Pratchett,1991,Witches Abroad,4.2,47875,https://images.gr-assets.com/books/1403326937m/2442.jpg
2493,859,4,298,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,3.87,276076,https://images.gr-assets.com/books/1327942880m/2493.jpg
2517,491,2,3048,375706852,"Orhan Pamuk, Erdağ M. Göknar",1998,Benim Adım Kırmızı,3.83,27314,https://images.gr-assets.com/books/1374015288m/2517.jpg
2526,220,4,653,156007754,"José Saramago, Giovanni Pontiero",1995,Ensaio Sobre A Cegueira,4.08,98738,https://images.gr-assets.com/books/1327866409m/2526.jpg
2528,857,3,7651,156010593,"José Saramago, Margaret Jull Costa",1997,Todos Os Nomes,3.88,9520,https://images.gr-assets.com/books/1327955213m/2528.jpg
2530,119,4,8532,156005204,"José Saramago, Giovanni Pontiero",1982,Memorial Do Convento,3.9,5321,https://images.gr-assets.com/books/1483229660m/2530.jpg
2547,2320,4,489,000100039X,Kahlil Gibran,1923,The Prophet,4.22,142641,https://images.gr-assets.com/books/1355046521m/2547.jpg
2612,230,5,127,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make A Big Difference,3.92,490504,https://images.gr-assets.com/books/1473396980m/2612.jpg
2615,230,2,3661,60521996,Clayton M. Christensen,1997,The Innovator'S Dilemma: The Revolutionary Book That Will Change The Way You Do Business (Collins Business Essentials),4.0,21997,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2623,319,3,160,192833596,Charles Dickens,1860,Great Expectations,3.75,459247,https://images.gr-assets.com/books/1327920219m/2623.jpg
2657,324,4,4,61120081,Harper Lee,1960,To Kill A Mockingbird,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg
2666,158,2,1739,553381342,Tom Wolfe,1987,The Bonfire Of The Vanities,3.81,52062,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2677,287,5,8906,486287599,Jonathan Swift,1729,A Modest Proposal And Other Satirical Works,4.04,12499,https://images.gr-assets.com/books/1264316062m/2677.jpg
2696,1669,4,646,140424385,"Geoffrey Chaucer, Nevill Coghill",1390,Tales Of Caunterbury,3.48,148480,https://images.gr-assets.com/books/1261208589m/2696.jpg
2715,3205,4,2498,142001619,Mark Kurlansky,2002,Salt: A World History,3.73,39402,https://images.gr-assets.com/books/1414608893m/2715.jpg
2743,277,5,1897,1558745157,Dave Pelzer,1997,The Lost Boy (Dave Pelzer #2),4.08,46847,https://images.gr-assets.com/books/1282635105m/2743.jpg
2744,133,5,666,60515198,Neil Gaiman,2005,Anansi Boys,4.0,137639,https://images.gr-assets.com/books/1479778049m/2744.jpg
2748,6739,4,4510,60987049,Douglas Coupland,1995,Microserfs,3.88,19516,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2767,472,2,663,60838655,Howard Zinn,1980,A People'S History Of The United States: 1492 To Present,4.07,137372,https://images.gr-assets.com/books/1494279423m/2767.jpg
2784,1098,4,462,140135154,John Berger,1972,Ways Of Seeing,3.75,155658,https://images.gr-assets.com/books/1464018308m/2784.jpg
2794,321,4,1797,006091307X,Thomas Pynchon,1966,The Crying Of Lot 49,3.7,48692,https://images.gr-assets.com/books/1375727632m/2794.jpg
2839,407,2,245,439366771,Katherine Paterson,1977,Bridge To Terabithia,3.98,337644,https://images.gr-assets.com/books/1327880087m/2839.jpg
2865,251,5,148,452287022,Tracy Chevalier,1999,Girl With A Pearl Earring,3.85,467577,https://images.gr-assets.com/books/1327197580m/2865.jpg
2872,422,4,6299,452283205,Tracy Chevalier,2001,Falling Angels,3.55,18465,https://images.gr-assets.com/books/1327995250m/2872.jpg
2873,215,3,4842,452284449,Tracy Chevalier,1997,The Virgin Blue,3.65,23484,https://images.gr-assets.com/books/1395581883m/2873.jpg
2879,2754,5,5523,1421506130,Tite Kubo,2004,Bleach―ブリーチ― 15,4.41,17078,https://images.gr-assets.com/books/1417981626m/2879.jpg
2880,524,2,720,1591164419,Tite Kubo,2002,Bleach―ブリーチ―　1,4.21,120004,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2915,315,5,6755,044022750X,Gary Paulsen,1991,The River,3.77,14198,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2932,873,3,478,375757325,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719,"The Life And Strange Surprising Adventures Of Robinson Crusoe Of York, Mariner",3.66,178188,https://images.gr-assets.com/books/1403180114m/2932.jpg
2956,10114,3,58,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures Of Huckleberry Finn,3.8,953758,https://images.gr-assets.com/books/1405973850m/2956.jpg
2978,284,5,8838,60594527,James Hilton,1933,Lost Horizon,3.9,10907,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
2998,1359,4,93,517189607,Frances Hodgson Burnett,1911,The Secret Garden,4.12,639357,https://images.gr-assets.com/books/1327873635m/2998.jpg
3008,3623,3,540,142437018,"Frances Hodgson Burnett, Nancy Bond",1905,A Little Princess,4.2,199872,https://images.gr-assets.com/books/1327868556m/3008.jpg
3028,215,3,9732,517548233,Henry Hazlitt,1946,Economics In One Lesson,4.22,9028,https://images.gr-assets.com/books/1320423284m/3028.jpg
3049,251,4,3022,451528182,"Unknown, Burton Raffel, Neil D. Isaacs",1390,Gawayn And Þe Grene Knyȝt,3.68,36477,https://images.gr-assets.com/books/1309282183m/3049.jpg
3061,349,3,3499,395530075,"Kimon Nicolaides, Mamie Harmon",1941,The Natural Way To Draw,3.88,30880,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3087,1383,1,829,1420925431,E.M. Forster,1908,A Room With A View,3.91,109994,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3102,119,5,1949,486424545,E.M. Forster,1910,Howards End,3.95,52006,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3103,178,5,6128,393310329,E.M. Forster,1971,Maurice,4.02,16301,https://images.gr-assets.com/books/1361934128m/3103.jpg
3109,342,2,550,1594200823,Michael Pollan,2006,The Omnivore'S Dilemma,4.17,133271,https://images.gr-assets.com/books/1393804353m/3109.jpg
3110,1687,4,2897,074326004X,Sarah Vowell,2005,Assassination Vacation,3.98,32176,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3273,4,2,1216,312304358,Alan Brennert,2003,Moloka'I,4.15,75307,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3291,578,4,8295,743217187,Isabel Allende,1988,Cuentos De Eva Luna,3.96,10862,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3300,631,4,5774,61161535,"Isabel Allende, Margaret Sayers Peden",2006,Inés Del Alma Mía,3.9,13539,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3304,1064,3,5045,60535032,"Isabel Allende, Margaret Sayers Peden",2002,La Ciudad De Las Bestias,3.69,15497,https://images.gr-assets.com/books/1331488122m/3304.jpg
3368,460,5,6487,321344758,Steve Krug,2000,Don'T Make Me Think! A Common Sense Approach To Web Usability,4.24,7296,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3378,613,5,4238,349108390,Douglas Coupland,1991,Generation X: Tales For An Accelerated Culture,3.73,20030,https://images.gr-assets.com/books/1485623844m/3378.jpg
3379,242,4,7749,1582342156,Douglas Coupland,2001,All Families Are Psychotic,3.69,10461,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3381,109,5,5808,1582344159,Douglas Coupland,2003,Hey Nostradamus!,3.72,14645,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3384,7942,4,5948,60987324,Douglas Coupland,1998,Girlfriend In A Coma,3.61,14576,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3388,145,4,1458,067976397X,Louis de Bernières,1994,Captain Corelli'S Mandolin,3.95,57583,https://images.gr-assets.com/books/1479680795m/3388.jpg
3412,550,2,311,380018179,Colleen McCullough,1977,The Thorn Birds,4.22,255651,https://images.gr-assets.com/books/1391416796m/3412.jpg
3431,1792,4,132,1401308589,Mitch Albom,2003,The Five People You Meet In Heaven,3.9,449501,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3446,876,4,9743,767904427,Tim O'Brien,1978,Going After Cacciato,3.9,9188,https://images.gr-assets.com/books/1399498199m/3446.jpg
3447,1405,3,7155,061870986X,Tim O'Brien,1994,In The Lake Of The Woods,3.78,12441,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3462,1527,4,552,446696129,Nicholas Sparks,2000,The Rescue,4.1,142092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3463,1359,4,683,446696137,Nicholas Sparks,2001,A Bend In The Road,4.02,116800,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3464,251,3,1414,044669651X,Nicholas Sparks,2003,True Believer,3.8,62840,https://images.gr-assets.com/books/1385739017m/3464.jpg
3465,824,4,3119,446694851,"Nicholas Sparks, Micah Sparks",2004,Three Weeks With My Brother,4.01,32208,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3466,153,2,686,446615862,Nicholas Sparks,2003,The Wedding,3.98,118045,https://images.gr-assets.com/books/1385738787m/3466.jpg
3467,2324,4,3084,375828257,Jeanne DuPrau,2004,The People Of Sparks,3.65,40859,https://images.gr-assets.com/books/1397931991m/3467.jpg
3473,5874,4,107,446693804,Nicholas Sparks,1999,A Walk To Remember,4.15,546948,https://images.gr-assets.com/books/1385738968m/3473.jpg
3476,75,1,2820,142000205,Gwyn Hyman Rubio,1998,Icy Sparks,3.68,34128,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3478,1022,5,420,446676071,Nicholas Sparks,1998,Message In A Bottle,3.95,185116,https://images.gr-assets.com/books/1163789140m/3478.jpg
3483,376,4,2914,067003777X,Marisha Pessl,2006,Special Topics In Calamity Physics,3.7,29369,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3507,2324,5,1627,312349486,Janet Evanovich,2006,Twelve Sharp,4.14,74747,https://images.gr-assets.com/books/1316727699m/3507.jpg
3559,46,3,9946,385413726,Thomas L. Friedman,1989,From Beirut To Jerusalem,4.1,8057,https://images.gr-assets.com/books/1328295618m/3559.jpg
3562,578,4,4014,055323370X,L.M. Montgomery,1923,Emily Of New Moon,4.09,33317,https://images.gr-assets.com/books/1327883976m/3562.jpg
3579,178,3,958,553609416,L.M. Montgomery,1908,The Complete Anne Of Green Gables Boxed Set,4.42,92142,https://images.gr-assets.com/books/1267721500m/3579.jpg
3581,145,3,5508,553212419,Arthur Conan Doyle,1927,"Sherlock Holmes: The Complete Novels And Stories, Volume I",4.45,17950,https://images.gr-assets.com/books/1320490450m/3581.jpg
3586,275,5,1320,1593082045,"Arthur Conan Doyle, Kyle Freeman",1914,"Sherlock Holmes: The Complete Novels And Stories, Vol 2",4.46,66857,https://images.gr-assets.com/books/1347663158m/3586.jpg
3590,349,4,514,192835084,Arthur Conan Doyle,1892,The Adventures Of Sherlock Holmes,4.29,139816,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3636,3843,4,36,385732554,Lois Lowry,1993,The Giver,4.12,1296825,https://images.gr-assets.com/books/1342493368m/3636.jpg
3648,319,3,4614,030726419X,Claire Messud,2006,The Emperor'S Children,2.93,15362,https://images.gr-assets.com/books/1320497348m/3648.jpg
3656,358,1,5556,1400097029,John Banville,2005,The Sea,3.49,16558,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3679,49,4,1928,143037749,Zadie Smith,2005,On Beauty,3.68,44317,https://images.gr-assets.com/books/1495961870m/3679.jpg
3682,47,5,586,689875347,Libba Bray,2003,A Great And Terrible Beauty,3.79,173613,https://images.gr-assets.com/books/1284558475m/3682.jpg
3685,609,3,497,439228905,Anna Sewell,1877,Black Beauty,3.94,183255,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3686,633,3,3588,60572159,Ann Patchett,2004,Truth & Beauty: A Friendship,3.94,26344,https://images.gr-assets.com/books/1410140355m/3686.jpg
3690,3437,4,4605,142437301,"Graham Greene, John Updike",1940,The Power And The Glory,3.99,21315,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3692,89,4,4983,99478420,Graham Greene,1948,The Heart Of The Matter,3.98,19149,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3698,3315,5,3106,143039024,"Graham Greene, Robert  Stone",1955,The Quiet American,3.96,30395,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3710,1487,4,9579,037570387X,Zadie Smith,2002,The Autograph Man,3.14,8317,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3711,7,5,1005,375703861,Zadie Smith,1999,White Teeth,3.75,82474,https://images.gr-assets.com/books/1374739885m/3711.jpg
3717,202,4,4369,385722222,Chuck Palahniuk,2004,Stranger Than Fiction: True Stories,3.56,18091,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3750,1682,4,7427,142002062,Ian Fleming,1955,Moonraker,3.7,12016,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3757,409,1,8334,142002038,Ian Fleming,1958,Dr. No,3.76,10569,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3758,215,4,2506,014200202X,Ian Fleming,1953,Casino Royale,3.73,39150,https://images.gr-assets.com/books/1497801490m/3758.jpg
3759,368,3,7089,142002046,Ian Fleming,1959,Goldfinger,3.8,13267,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3760,504,5,8837,142002054,Ian Fleming,1956,Diamonds Are Forever,3.59,10205,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3762,3096,3,8864,142003255,Ian Fleming,1963,On Her Majesty'S Secret Service,3.94,11612,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3763,1428,4,6223,142003239,Ian Fleming,1954,Live And Let Die,3.62,14230,https://images.gr-assets.com/books/1327953982m/3763.jpg
3764,319,5,4560,142002070,Ian Fleming,1957,"From Russia, With Love",3.88,19802,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3805,153,4,658,1841156736,Jonathan Franzen,2001,The Corrections,3.78,117657,https://images.gr-assets.com/books/1355011305m/3805.jpg
3832,1245,2,4586,743219570,P.D. James,1962,Cover Her Face,3.94,22941,https://images.gr-assets.com/books/1298412294m/3832.jpg
3836,943,5,597,142437239,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",1605,Don Quijote De La Mancha,3.85,134931,https://images.gr-assets.com/books/1364958765m/3836.jpg
3858,287,5,6351,767915747,Sarah Macdonald,2002,Holy Cow: An Indian Adventure,3.51,13627,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3867,213,3,867,393328627,Nicole Krauss,2005,The History Of Love,3.91,98379,https://images.gr-assets.com/books/1327911009m/3867.jpg
3869,116,5,439,553380168,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",1987,A Brief History Of Time: From The Big Bang To Black Holes,4.12,165628,https://images.gr-assets.com/books/1333578746m/3869.jpg
3872,476,4,8433,802715524,Tom Standage,2005,A History Of The World In 6 Glasses,3.74,10473,https://images.gr-assets.com/books/1415681601m/3872.jpg
3873,221,3,2727,517223120,Karen Armstrong,1975,"A History Of God: The 4,000-Year Quest Of Judaism, Christianity, And Islam",3.85,32506,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3876,363,3,264,743297334,Ernest Hemingway,1926,The Sun Also Rises,3.83,284988,https://images.gr-assets.com/books/1331828228m/3876.jpg
3882,435,4,4136,1400082544,Rachael Ray,2005,Rachael Ray 365: No Repeats--A Year Of Deliciously Different Dinners (A 30-Minute Meal Cookbook),3.68,21573,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3885,739,2,6663,898214971,"Janet Briggs, Beth Wittlinger",2006,The Taste Of Home Cookbook,4.25,14469,https://images.gr-assets.com/books/1309198140m/3885.jpg
3888,1140,4,7894,193361501X,"America's Test Kitchen, Carl Tremblay, Daniel J. Van Ackere",2005,The America'S Test Kitchen Family Cookbook,4.31,12081,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3895,3170,4,4035,609602195,"Ina Garten, Melanie Acevedo",1999,The Barefoot Contessa Cookbook,4.21,22497,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3972,728,2,8432,380817934,Dan Simmons,2005,Olympos,3.93,11393,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3973,307,5,5332,380817926,Dan Simmons,2003,Ilium,4.01,19242,https://images.gr-assets.com/books/1390894862m/3973.jpg
3974,215,5,4885,316017442,Dan Simmons,2007,The Terror,4.0,21225,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
3977,5613,3,3247,553572946,Dan Simmons,1996,Endymion,4.14,30664,https://images.gr-assets.com/books/1329611385m/3977.jpg
3980,2349,3,793,744583276,E.L. Konigsburg,1967,From The Mixed-Up Files Of Mrs. Basil E. Frankweiler,4.15,134537,https://images.gr-assets.com/books/1327784751m/3980.jpg
3985,40,4,516,312282990,Michael Chabon,2000,The Amazing Adventures Of Kavalier & Clay,4.17,147717,https://images.gr-assets.com/books/1479660066m/3985.jpg
4004,202,4,2521,722534876,"Paulo Coelho, Alan R. Clarke",1987,O Diário De Um Mago,3.64,28283,https://images.gr-assets.com/books/1307909268m/4004.jpg
4005,345,3,2902,722536542,Paulo Coelho,1996,O Monte Cinco,3.61,26060,https://images.gr-assets.com/books/1358268472m/4005.jpg
4006,1524,4,5318,722533942,"Paulo Coelho, Alan R. Clarke",1988,As Valkírias,3.3,14364,https://images.gr-assets.com/books/1414013931m/4006.jpg
4008,8151,4,1835,60527994,"Paulo Coelho, Amanda Hopkinson, Nick Caistor",2000,O Demônio E A Srta. Prym,3.59,42286,https://images.gr-assets.com/books/1359082264m/4008.jpg
4009,669,1,709,316767727,J.D. Salinger,1953,Nine Stories,4.19,105138,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4031,287,5,5128,375727272,Bret Easton Ellis,2005,Lunar Park,3.6,16431,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4035,571,3,3240,446677124,Scott Turow,1990,The Burden Of Proof,4.05,29103,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4069,341,4,472,080701429X,Viktor E. Frankl,1946,…Trotzdem Ja Zum Leben Sagen: Ein Psychologe Erlebt Das Konzentrationslager,4.33,171281,https://images.gr-assets.com/books/1467136625m/4069.jpg
4076,2003,4,8179,1861977166,"Tom Peters, Robert H. Waterman Jr.",1982,In Search Of Excellence,3.91,9469,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4099,3295,3,9032,020161622X,"Andrew Hunt, Dave Thomas",1999,The Pragmatic Programmer: From Journeyman To Master,4.31,9416,https://images.gr-assets.com/books/1401432508m/4099.jpg
4122,799,4,2220,60566108,"James C. Collins, Jerry I. Porras",1994,Built To Last: Successful Habits Of Visionary Companies,3.98,39618,https://images.gr-assets.com/books/1412047084m/4122.jpg
4135,3943,4,2615,446578843,Amy Sedaris,2006,I Like You: Hospitality Under The Influence,3.87,34212,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4136,887,4,943,316191299,David Sedaris,1997,Holidays On Ice,3.95,82591,https://images.gr-assets.com/books/1328330843m/4136.jpg
4137,55,3,101,349113912,David Sedaris,2000,Me Talk Pretty One Day,3.97,495736,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
4138,7,3,344,316777730,David Sedaris,1997,Naked,4.08,201337,https://images.gr-assets.com/books/1394178867m/4138.jpg
4143,2349,5,1923,316779423,David Sedaris,1994,Barrel Fever: Stories And Essays,3.78,44679,https://images.gr-assets.com/books/1453273003m/4143.jpg
4214,1353,4,45,770430074,Yann Martel,2001,Life Of Pi,3.88,1003228,https://images.gr-assets.com/books/1320562005m/4214.jpg
4261,1391,4,9083,1573223565,Nick Hornby,2003,31 Songs,3.56,8999,https://images.gr-assets.com/books/1417984618m/4261.jpg
4264,2141,2,3476,1573226882,Nick Hornby,1992,Fever Pitch,3.72,25374,https://images.gr-assets.com/books/1426114203m/4264.jpg
4268,47,5,2193,3426615355,Nick Hornby,2001,How To Be Good,3.18,37497,https://images.gr-assets.com/books/1327935893m/4268.jpg
